id,followers,genres,name,popularity
3vkeRNCV4F7Qgj20xdo2As,9,[],Sebatu,0
412VUx63zcyV5CHvtqUhSQ,43,[],Vienna Philharmonic Quartet,0
3847ApYcbeg15SP6ItddZi,60,[],Diogenio Bigaglia,10
6SRv0AzoQMej5rbWtUCjBz,3,[],Milos Betko,0
0nCdlZ9RNYU80hth3br7jV,13,[],Bartolomaus Riedl,0
7CzvUTGTWDoCKzYmljJkh7,88,"['german renaissance', 'renaissance']",Erasmus Widmann,7
3zRK8g4ugEDvWNm4kp7DyJ,1390,[],Muneshine,14
11ldsqpW5UobwcQFXLi4B8,2492,['north carolina hip hop'],Cesar Comanche,13
2C7lMoeDM5CA7IqXvhDPF8,1880,['underground rap'],Blame One,18
04rfiH8rG7fRcl7ElMUnfW,333,[],Superstar Quamallah,5
78JJdB3n889cGbRTH1BAOf,738,[],Deep Rooted,9
5sAzqASipEFaXW2CfvbgPQ,197,[],Now On,4
2Udm7BM4MmReQgGN0GXMvo,9049,"['ambeat', 'jazz rap']",ArtOfficial,25
2tIvsggbNcjXodrQ0FlnMa,2731,['new jersey rap'],DJ K.O.,16
1HjsUYkvMJPAfGDoBMF9DI,322,['jazz rap'],Seven Star,6
5bBEAb0OfNmdXbinRi8WXk,673,[],Buff1,11
5zTs8RFqVY1MISB77emYoR,6373,[],JR & PH7,26
3fEkHvGz0GX440DFvVfUJg,3530,['north carolina hip hop'],L.E.G.A.C.Y.,14
5xKjon25DjkT4ujYIlUDyo,12,[],"Johnny ""D"" De Mairo",0
1DRWLz9LGTFVlR7ZGb2E0z,67,[],Franck Pourcel y su Gran Orquesta,6
20WdORChXADzzdKGI01SyV,183,[],Pork And The Havana Ducks,3
74kD47HjQrrrXwb8g3Annd,6,[],Erwin Lehn Und Das Rbt- Tanzorchester,0
0pnA2tm1BkVVJDMLpPJZJy,0,[],Ulla Daeien Van,0
5sr9nyrIrnWpSF60TOSUVF,661,[],Aviation and the War,3
7BAS3VtpPcQhqz2wGH5Wwm,32,[],Mother Mine,0
7aA2fCthHdD3KXuaQ3E7wg,2,[],Leanna Fugate,0
1fvEKlrDy48Q5gPzkRqxxS,14,[],Mahnaz,0
2kwIll0DrKi5mW3VtXZSLP,34,[],Nick Richards,0
0gNPnGmS1fq0YtH6WLdYok,2,[],Yolan'd Adamis,0
5NbkUrLOnvWXW9Ugz0OH4U,8,[],Orchester Hubert Deuringer,0
0z7MDTPPWlmJPXRHf0TeKG,17,[],Marie Gibson,1
3PLvp2hfrpPq7tqLyCWsLB,22,[],Daniel David,15
7xX5znC2MkjCqSGt93n90M,1,[],Assignee,0
2m6lyAKZ5KZ46yvPvtgZWB,2,[],Chuck Webb And His Orchestra,0
3jITmfW6tvABcxlIsFAwfb,14,[],Nia Johnson,0
45UYy8FwvWYTxJsSLxBI80,80,[],Wattenläufer,6
03VqiyoxGFyov76SrdR29O,0,[],Alida Gundlach,0
7MvwaPXb9Xe6MhabgmtPQY,42,[],Joe Loco & His Quintet,3
6dWr7vCVJS0YUiPaCeX6Tj,1734,['breton folk'],Le Bagad de Lann-Bihoué,21
7jfplEDmaUcpHt3tDT5z3d,226,"['balfolk', 'breton folk']",Koun,14
0KKegakabLgM2IV1vCRRT1,773,['breton folk'],Breizh,15
0BWAlPt4TqVmMFlZ16E5SG,828,['breton folk'],Chaplain,20
225GtnBGR4lpEbhLI7evYr,395,[],Balamurali Balu,11
6oKFzXCA5pBP9idPuoVIzT,20,[],Neyveli Ramalakshmi,25
28pP6NtZiz5wSRDVTHddyy,196,['classical organ'],Stefano Molardi,21
6HjNo4HrH7s98nMOw408KF,378,['bangla'],Laboni,2
3DexzQxj9H9SH533PC8UP8,1478,['bangla'],Anila,20
4ZVQjEFEfEb7bYDiZqB1dG,900,['bangla'],Armeen,1
2btbJxb48oBLFQfBluoj7H,2250,['bangla'],Pothik Nobi,10
0Awy54EOUGshZ2G9s6BkNB,16,[],Linde Consort/Hans-Martin Linde,0
5GWLaI4NuKBEjWoMDlz0zi,1,[],Bath Festival Ensemble/Yehudi Menuhin,0
1cWjNlg6ALcFJlcZEBySir,94,[],Bath Festival Chamber Orchestra,15
5ee6tRCf54hwB2pyXhRMb2,1726,"['christian relaxative', 'lds']",Ryan Tilby,38
67CqEIMpWuNb6MnpTKjlFv,33903,"['christian relaxative', 'lds', 'slc indie']",Steven Sharp Nelson,46
49j7cHDaqkF4vMiQ8QINxL,532,"['lds', 'new age piano']",Jackie Child,20
2aGSu6dczjerFu3lfexW5e,161,['lds'],Todd McCabe & April Moriarty,24
6en8t9iGQqTdkPYrKooJG6,426,['lds'],Chad Woolner,17
1bYHMZ8s6WzVgB2IKXKJc2,5770,"['contemporary gospel', 'praise']",The Bolton Brothers,24
6g6nXMyRMExGDAb1RQend6,10685,"['contemporary gospel', 'praise']",Doc McKenzie,24
2mFcHAaHVCVDkuuv24qVdD,7583,"['contemporary gospel', 'praise']",The Texas Boyz,18
7rFVPfrASM9KOEeJBa4l0x,23317,"['contemporary gospel', 'praise']",The Jackson Southernaires,32
5UdO8eR3PNrj7aI140nUmF,7818,['contemporary gospel'],Neal Roberson,23
2e6NBbkYdjJsaWMi8XCzOM,11242,"['contemporary gospel', 'praise']",Slim & the Supreme Angels,23
2fLoyBsKDj6JvrJxytD1VF,47574,"['contemporary gospel', 'gospel', 'praise']",Ricky Dillard & New G,37
4HNewXYzkXW2o8oHuk3RQp,9291,"['gospel r&b', 'praise']",Doobie Powell,34
2bTfKyEM0bSDqmDcZybqzH,82673,"['contemporary gospel', 'gospel', 'gospel r&b']",Isaac Carree,45
237TnVXOzAYO4Xn6r7YuGg,10014,"['contemporary gospel', 'praise']",The Christianaires,23
1gmIOWFJKNMxrwxx4ycVeO,6585,"['contemporary gospel', 'praise']",Darrell McFadden & The Disciples,21
5R76YG5aRtZcXohk9NUju2,36335,"['contemporary gospel', 'gospel']",Rev. Timothy Wright,35
3Tiff2zKob5oG6m7AQpbis,25698,"['contemporary gospel', 'gospel']",Rev. Milton Brunson,38
0HKZ7tMM3tVFPTRvEOJMjV,1734,['praise'],Greg O'Quin & iPraize,6
1e5OohAPdgqCeMq3eegvqp,60290,"['contemporary gospel', 'gospel', 'gospel r&b']",Zacardi Cortez,45
3OPJZtUlpoL3kZloBGY1lA,4888,"['blues', 'electric blues', 'rhythm and blues', 'texas blues', 'traditional blues']",Pee Wee Crayton,28
7rmHrwuyVuFNIvikHchsQn,2055,"['chicago blues', 'piano blues', 'rhythm and blues']",Willie Mabon,25
1OZW3cQ878iFY7ncvngvSa,1236,"['louisiana blues', 'new orleans blues', 'rhythm and blues']",Tommy Ridgley,12
045CNprh7gdLSnJP6oOryU,4671,"['full on', 'psychedelic trance']",Domestic,26
7LgOSM71mzBkSKfKTWDPFF,2201,['full on'],Ferbi Boys,8
3PyeaFP8GmUvdhRabBrBU4,10548,"['full on', 'psychedelic trance']",Sub6,25
5FIY6uIQu5rGGhWQ8Qj9Qs,2330,['full on'],Kromeangels,9
6MHvglQwtGxzYJ76wO4UOP,4,['classic konkani pop'],K C V,0
1y20mFsRz2CxWpLxDNvUUB,10,['classic konkani pop'],Frank D' Sliva,2
5NR4SbUIxrwLW74G6FwhhR,120,['classic konkani pop'],Lorna,5
71VMRKTax9W1DzJf8T1gbT,467,['french classical piano'],Jacques Rouvier,30
3Y9FLbAAcOI2DzT4ScrNcS,274,[],Mutsumi Hatano,11
1ldCTna33QPZy4ekJwFh2N,90,[],Paddy Homan,1
0dSqXLQ1aGdNfG0ZddDkkx,54,[],No Frontiers,0
5gH5v9n1l4icvSddyYfQXV,0,[],Rain On The Roof,0
51oWslTCAq2OfDTo8kRdMy,18,[],George Murphy & The Black Donnellys,0
4M3q0yOSSXkrHPYagFBpfv,33,[],Mick Fitzgerald,0
1VYAXYEwtP54Wyb4uxGnJz,150,['uilleann pipes'],David Power,2
29QsGiZAmY31ozkOFJAlao,17,[],Johnny Kelly,0
0f2qDymbAturfiOg04c0SP,14,[],Neil Mulligan,0
3haXw4m8LshFCKbphAilII,107,[],James Riley,18
67PkYXxXLJkFSmBxUc9AH4,55,[],The Bordercollies,0
411WHCTvJWzOk6dJrapL3r,156,[],Tommy O'Sullivan,13
7mFbJCyj7A2bykWgBTHZwZ,3157,"['garage psych', 'psychedelic folk rock']",John Andrews & The Yawns,26
4LLOu8tVD2cTM5Lemff1bG,2566,['psychedelic folk rock'],Tim Hill,29
2GubanPI94YiSAy9uVC51y,5081,"['alternative country', 'garage psych', 'indie folk']",Dougie Poole,37
42tgL54E6Mh70eIaikDven,2614,"['canadian indie folk', 'freak folk', 'garage psych', 'halifax indie']",Jon McKiel,30
2wAPeWKKHrPZ3UUqnw9Bpy,21694,['anti-folk'],Connie Converse,39
5cXJERCnv50nZBXCk8Zq9X,487,[],Jack Kittel,25
1XRrYWnoRIqMuQHq1npqSK,362,['psychedelic folk rock'],Art Lown,26
1FMkyMcDt49nAE9f9JFqgN,3,[],George Richardson,0
5uQyXHg4ph7gNlnZHxt9kX,7324,"['cosmic american', 'psychedelic folk rock']",Robert Lester Folsom,38
1kAiqfVtPwxRRHH0Mbd2vv,0,[],Florian Monday,0
3bpCFLqOqXizuXTYb7RJSk,3,[],Volk Bros.,0
5NP4992iyHiH0OYVpFTr7J,4,[],Dick Tacker,0
5WUAqL58Z70RaKcZakzd7j,25,[],Jimmy Crain,1
49MlTIItYaMa9FvnQUcy3s,4,[],Ricky Scott,0
0lnNIlWjSY4Hq2Ytk7FQ5D,1586,['hard bop'],Pepper Adams Quintet,11
3MbyDSYMasGP6PwXFhA37S,719,['kolkata indie'],Prosen,16
0PJyVFieEuGOIO6qz9XFQU,61,['koligeet'],Ujwala Vasant Bavkar,7
2CrHixfzlsXuloGKE4ByNi,330,[],Crows Crows Crows,6
1ig07M01LW1HHnBQ1cY0Dx,9,[],Tom Schley,0
6vOzpUgawRG2PAiXSFTBdy,122,[],BATLORD,2
4xeIXkA9fl2gegj9YIfJtQ,2021,[],V.Raeter,42
7Bx0qiG4t9Ewq8NyPDtxab,2295,[],Michael Wyckoff,41
0XC7SxMPxX8xP8VaY2NpOr,2612,['indie deutschrap'],ETR,35
67GUEzEyneBgrwqL0zSnYC,25,[],Warren Daly,0
0upmBN9fllZJBgez7wmCtb,79,[],Nic Billington,9
0JTg1IqhBy06w1CEfPxH0B,21,[],Spartan Beats,0
6pHnbQ5GuuXLbXl92nTwRT,25,[],James Luisi,4
70RzR6o6l1N3pc62bXaiGF,26,[],Fred Robbins,5
5YhDnSl9MPGK2bmYeO1wJc,16,[],Patriotic Big Band & Chorus,0
4F5NEP6tLmycfFPeHhha4g,1387,[],Shirley Maclaine,21
1EZ0WLadCAeJdq3FQwHdYe,50,[],Cy Coleman Trio,3
0QSjxVkphPdZhzM50OOaBA,8,[],Maurice Abravanel Orchestra,0
4e2EoXzAgrV00054IBiyjz,48,[],Craig Carnelia,2
5IKd3bOcdooPoeDdRM2f3A,2,[],Douglas Bernstein,1
7at5cyeADYsg2Wu4eyBqb3,113,[],Tyne Daly,8
5LqKs6GI1MYkX4Mfieqhn7,42,[],Nina Joyeux,0
7vxaH6qme8fNa6S3u6Sycr,8,[],Waves Band,0
17ttHJAht1AuWm2WjotrbD,66,[],Democrate D,1
7hWzz1NXioYDfGOA3lUac4,4,[],The September Sessions Band,0
4i9eDc03nxuRajVeRqmQLT,3,[],Geoffrey Owen,0
3NG8xj9ZpXPqlt2fcYehAu,2,[],Eddie Evans,0
0wbOX4oEynaTCR6iFTbB2k,98,[],Abstrakto,0
09Vn1XywPpvN9MrVKViTvU,5,[],Brother Sam,0
3iBNhXeZzPpSRFX1EOmXkX,29,[],Everlast & Kool Nick,0
7ajSVMtd9vxKL5hALwTYYf,6,[],Sound Spectrum,0
1anxJshG64jyJ8oPfNNJe2,370,[],The Contestants,1
1eRDQJiXMxukOzRjIycqqJ,35,[],The B Goodes,0
5FQ1lT8Zel7SY4Qu2erVhK,34,[],The Kings Of Rock N' Roll,1
79MHBu86G8PMKDQMrLOBmB,3,[],RJD,0
0CPysS5Tcn4eVRe1rVQLuM,6,[],Vander,0
5em64csXue4jmvdEmQ2CkK,9,[],Signs Of The Zodiac,0
2j5iFQc4YJwqSxdCcaIloY,411,[],THE VOYCES,13
22PB8XUJZh4hP672hlgodA,40,[],Spotlite,5
